house_type;house_zip_code;house_rooms;house_square_meters;house_year;house_taxes;house_energy;house_ground_area;house_price
Rækkehus;8800;4;116;15;2018;B;401;2175000;
Villa;7790;4;125;45;1344;D;736;745000;
Villa;3200;5;108;61;3299;D;1612;2650000;
Villa;7500;4;122;91;2437;D;777;2995000;
Villa;6800;5;161;15;2603;C;769;2798000;
Villa;4200;5;163;84;2346;C;826;2195000;
Villa;4400;2;61;194;1549;D;717;750000;
Villa;3080;4;136;54;3460;E;712;2850000;
Villa;9270;5;185;45;2849;D;1100;2995000;
Villa;6040;5;152;20;2578;B;1228;2195000;
Villa;3230;5;130;119;2360;C;681;2995000;
Villa;7130;7;256;161;3171;F;3984;2995000;
Villa;5600;5;175;26;1729;C;1529;2195000;
Villa;3390;5;179;15;3127;B;828;3095000;
Villa;4652;4;131;144;2553;C;2090;2995000;
Villa;9850;6;266;219;2419;E;33167;3250000;
Villa;8500;4;110;81;1312;D;732;775000;
Villa;4600;5;154;114;2976;C;690;3375000;
Villa;8700;5;141;16;2626;C;1083;2995000;
Villa;9230;5;143;51;2399;D;764;2195000;
Villa;4450;5;132;75;1543;F;800;825000;
Villa;4760;5;193;45;3223;C;824;2235000;
Rækkehus;2670;3;114;-1;3653;A15;279;3795000;
Villa;7500;5;150;1;3340;A15;946;2995000;
Villa;9370;3;100;58;1905;E;855;925000;
Villa;5270;4;251;74;1848;D;890;2995000;
Villa;3200;7;211;48;3914;B;890;4195000;
Villa;4930;3;104;121;1402;C;193;1199000;
Villa;6840;4;108;65;1714;E;738;975000;
Villa;4690;5;149;52;2577;D;1009;2295000;
Villa;8600;5;182;59;2960;C;1112;3095000;
Villa;2670;6;191;49;3643;C;956;5295000;
Villa;7400;1;197;51;2493;D;910;2295000;
Villa;4450;5;112;113;1930;E;805;975000;
Villa;7120;7;171;59;4983;C;800;6995000;
Villa;7000;4;160;43;1960;C;849;1200000;
Villa;5240;5;133;57;2045;C;683;2295000;
Rækkehus;2680;4;127;54;3325;C;420;3095000;
Villa;7800;5;105;63;1758;C;569;1245000;
Ejerlejlighed;4230;3;92;35;1096;D;408;1045000;
Villa;8600;5;144;52;2706;C;893;2345000;
Villa;4180;5;129;136;1732;E;665;1045000;
Villa;5320;4;112;30;2207;C;600;2345000;
Villa;5560;6;138;91;1705;D;1476;1250000;
Villa;4892;4;163;26;1910;D;775;1095000;
Villa;3210;4;181;41;3014;G;968;2350000;
Villa;6920;4;150;48;1509;E;864;1145000;
Villa;9300;3;97;60;1618;D;805;1148000;
Ejerlejlighed;7700;4;116;119;1688;D;440;1295000;
Villa;6200;4;166;55;1734;C;926;2375000;
Rækkehus;9480;3;88;141;1531;C;577;1295000;
Villa;5463;4;137;49;1700;E;886;1195000;
Villa;6000;5;168;46;2486;C;758;2395000;
Rækkehus;6760;3;87;41;1375;C;231;1298000;
Villa;3390;3;111;22;3449;E;1035;2395000;
Villa;4230;6;203;241;2008;E;852;1345000;
Villa;6400;5;147;19;2232;B;1063;2395000;
Villa;6650;5;221;101;2215;F;7573;1350000;
Villa;9300;3;122;72;1615;D;760;1398000;
Villa;5330;4;114;141;1702;D;536;1425000;
Villa;9560;5;140;111;1441;C;253;1449000;
Villa;4220;3;108;181;1382;C;141;1475000;
Villa;6470;5;157;57;2234;E;805;1495000;
Villa;7182;4;166;74;2066;D;892;1495000;
Villa;8653;3;119;91;1472;F;260;1495000;
Villa;6000;5;111;73;2449;E;785;1495000;
Villa;6230;7;180;48;1774;C;854;1550000;
Ejerlejlighed;7800;7;180;0;2657;A20;7989;1600000;
Villa;3700;4;122;61;1850;C;660;1650000;
Villa;8732;2;132;171;2103;E;2840;1695000;
Villa;8653;6;185;48;2555;D;1189;1695000;
Villa;7400;4;158;81;1825;C;906;1735000;
Villa;8700;5;146;54;2241;D;855;1745000;
Villa;8700;7;128;95;1751;D;780;1745000;
Villa;9400;6;131;87;1722;D;2093;1775000;
Villa;6600;7;204;54;1922;C;700;1795000;
Villa;9800;4;125;98;1695;E;294;1795000;
Villa;3300;5;120;91;2449;E;3950;1795000;
Villa;7000;4;138;43;2478;C;1017;1798000;
Villa;7430;6;155;48;2009;C;1037;1845000;
Villa;8751;4;123;47;2096;D;892;1845000;
Villa;7000;4;128;37;2380;C;903;1849000;
Villa;9690;5;130;88;1644;D;15002;1445000;
Villa;5580;4;110;49;1730;D;706;1495000;
Villa;7870;5;127;101;1115;D;782;375000;
Villa;9560;3;91;159;992;G;1174;395000;
Villa;8920;7;310;161;1909;E;1800;1498000;
Villa;9800;4;120;48;2097;C;967;1525000;
Villa;6600;4;112;65;2051;D;812;1595000;
Villa;5960;5;127;124;1269;D;162;550000;
Villa;4573;8;221;68;1918;E;899;1595000;
Villa;8765;6;129;91;1053;D;604;575000;
Villa;7100;5;139;43;1802;C;730;1595000;
Villa;5700;3;110;89;1995;E;842;1625000;
Rækkehus;4990;3;71;50;1315;F;527;595000;
Villa;4891;3;102;171;1160;G;730;635000;
Villa;3360;4;102;59;2547;E;1073;1690000;
Villa;6240;4;141;57;1306;D;746;695000;
Villa;7100;5;195;5;1858;A10;718;3245000;
Rækkehus;8700;5;144;53;1717;C;336;1695000;
Villa;8270;5;190;52;6505;E;1240;6995000;
Rækkehus;2635;4;118;50;3375;D;475;3295000;
Villa;6200;6;155;148;1148;F;523;695000;
Ejerlejlighed;3600;3;76;87;3268;E;887;1695000;
Villa;2791;4;177;3;5185;A15;1128;7995000;
Rækkehus;3730;3;81;132;1245;C;180;695000;
Villa;8660;5;274;71;4061;B;830;8299000;
Villa;8653;5;108;119;1608;G;1992;695000;
Villa;9900;4;142;37;2017;C;839;1695000;
Villa;3400;9;280;91;6583;D;2027;8750000;
Villa;8920;5;124;45;1575;F;792;725000;
Villa;5690;7;221;124;2574;F;11183;3295000;
Villa;6400;5;191;144;2145;C;1064;1695000;
Villa;5230;3;96;73;2108;E;459;3345000;
Villa;2820;4;157;97;3591;C;667;8800000;
Villa;2980;5;127;49;3473;C;700;3450000;
Villa;6520;5;130;54;1388;C;800;725000;
Villa;7100;5;150;17;2595;C;768;3495000;
Villa;3390;5;136;46;2722;D;751;1995000;
Villa;3500;6;190;5;5369;A10;913;8995000;
Villa;6818;7;160;59;1416;G;1001;750000;
Villa;8960;6;172;13;3049;C;1050;3495000;
Villa;2840;5;171;62;6629;C;802;9195000;
Villa;7000;5;204;60;1693;D;694;1700000;
Villa;8930;3;149;113;1343;E;425;775000;
Villa;2820;7;178;105;5433;D;366;14995000;
Rækkehus;2750;4;107;50;3676;E;425;3495000;
Villa;4700;4;95;61;2158;C;689;1750000;
Villa;4171;2;55;119;1236;F;427;795000;
Villa;5550;4;145;67;2241;C;1200;1995000;
Villa;8700;3;107;89;1259;C;138;1750000;
Villa;9220;5;135;45;2636;C;933;2095000;
Villa;2920;9;283;87;11329;C;1285;19995000;
Villa;9870;4;107;59;1536;D;1300;835000;
Villa;2620;4;125;54;4750;D;712;3595000;
Villa;7755;5;144;105;989;D;374;195000;
Villa;4690;5;140;53;2325;C;831;2145000;
Villa;4500;4;81;55;1867;F;905;1250000;
Villa;4800;4;121;74;1892;D;400;1795000;
Villa;8860;4;99;84;1179;E;410;845000;
Ejerlejlighed;7323;3;104;71;2387;C;541;545000;
Villa;6753;6;176;46;1529;C;1052;1448000;
Villa;5960;5;178;40;1969;C;1448;2195000;
Villa;8870;4;107;63;1993;D;945;875000;
Villa;5620;6;162;41;2125;C;1030;1795000;
Villa;4262;3;72;119;1251;E;150;550000;
Villa;8700;6;204;48;3031;B;1390;3598000;
Villa;6920;4;153;21;2114;C;928;2195000;
Villa;9330;4;130;76;1282;E;2495;200000;
Villa;9690;6;191;49;1427;D;859;875000;
Villa;9300;4;125;54;1877;D;1029;1798000;
Villa;4490;4;115;50;2314;D;769;1265000;
Villa;8300;6;144;2;3476;A15;760;3598000;
Villa;6500;7;185;76;1762;C;1260;1485000;
Villa;5900;7;180;111;1623;G;11200;1800000;
Villa;8800;5;155;45;2652;D;852;2195000;
Villa;8462;6;205;69;2771;C;846;3600000;
Villa;7760;3;124;113;1159;C;326;595000;
Villa;7752;3;148;74;1306;G;870;299000;
Villa;4760;8;234;95;2367;C;1842;1845000;
Rækkehus;5220;4;105;58;1887;C;251;2195000;
Villa;7800;4;109;51;1008;A;899;645000;
Villa;9900;5;99;88;1019;E;784;350000;
Villa;4220;6;176;62;2371;C;905;1845000;
Villa;5550;4;119;63;1521;E;1000;1295000;
Villa;5600;5;180;105;2173;D;1824;1495000;
Villa;5400;3;113;46;1298;C;2648;649000;
Villa;6392;4;96;116;1027;E;740;395000;
Villa;4070;5;171;35;2400;F;797;1875000;
Rækkehus;6670;4;101;41;1074;C;440;650000;
Villa;7673;4;135;48;1352;D;770;399000;
Villa;9310;5;132;97;1905;C;625;1495000;
Villa;3400;4;95;60;3353;E;727;3650000;
Villa;7500;7;186;37;2375;C;873;2245000;
Villa;8700;4;105;60;1830;D;502;1495000;
Villa;7330;3;89;67;1456;D;762;1295000;
Villa;5700;6;148;104;1903;D;514;3695000;
Villa;9681;4;90;114;1041;E;491;450000;
Villa;5854;4;119;84;1152;E;1068;695000;
Villa;8620;3;124;49;1776;D;802;1295000;
Villa;6310;5;187;122;2080;D;1316;1495000;
Villa;2740;4;120;104;4232;C;962;3750000;
Villa;6270;4;100;61;1330;E;996;495000;
Villa;3390;6;138;41;2731;E;800;2295000;
Rækkehus;4760;3;83;15;1668;C;193;1695000;
Villa;2605;5;128;58;3127;C;778;3795000;
Villa;9900;4;114;113;1220;E;407;525000;
Villa;7570;4;124;49;1423;C;952;695000;
Villa;5370;4;118;91;1739;C;473;1495000;
Villa;2770;4;81;61;3608;E;627;3795000;
Villa;9280;4;168;105;2323;D;19000;2350000;
Villa;7680;5;196;41;1469;C;702;1345000;
Villa;4400;6;160;110;2507;C;1304;1495000;
Rækkehus;3740;3;95;151;1532;C;180;1695000;
Villa;5600;4;137;42;2513;C;1248;1345000;
Rækkehus;2620;6;172;52;5130;C;783;4398000;
Villa;4800;4;146;99;1422;D;1374;1695000;
Villa;9550;2;84;110;909;C;566;725000;
Villa;4900;4;156;41;2319;D;2255;1495000;
Villa;6320;6;167;89;2125;F;862;1695000;
Villa;3400;3;136;32;4433;C;1163;4495000;
Rækkehus;9490;3;89;38;1284;E;542;775000;
Villa;7130;6;173;114;1646;E;1126;1345000;
Villa;4100;8;251;91;2497;D;1144;1695000;
Villa;5550;5;192;48;3554;C;1943;2395000;
Villa;8464;6;186;56;3634;F;53323;4590000;
Villa;4550;5;148;16;2762;C;1001;2445000;
Villa;4990;3;105;79;1602;D;616;775000;
Villa;9990;7;138;69;2025;F;967;4595000;
Villa;8920;4;94;51;2139;E;799;1495000;
Villa;5250;4;88;61;2102;D;704;2495000;
Villa;5380;3;85;62;1578;D;619;775000;
Villa;9320;6;139;71;2086;D;770;1345000;
Villa;9370;4;142;50;2200;C;800;1495000;
Villa;5683;5;120;63;1882;G;4242;795000;
Villa;6960;7;156;41;1507;D;700;1365000;
Villa;9830;5;248;46;2014;E;516;1495000;
Villa;8600;5;135;53;2656;C;954;2495000;
Villa;4930;4;154;87;1531;D;779;795000;
Rækkehus;7120;3;93;44;2209;D;323;1695000;
Villa;9850;6;150;58;1457;E;668;1370000;
Villa;4600;4;88;88;3334;F;681;4800000;
Villa;3730;2;50;110;999;D;95;795000;
Rækkehus;9210;4;138;51;2275;A10;155;2498000;
Villa;8940;5;125;121;1783;D;428;1498000;
Ejerlejlighed;8700;4;112;106;2416;F;573;1695000;
Villa;6470;5;130;44;1670;G;1158;795000;
Villa;5700;4;96;66;1366;F;854;1375000;
Villa;6440;6;197;95;2369;F;909;1499000;
Villa;8660;3;163;101;2387;E;1470;2498000;
Villa;4270;3;96;144;1366;G;1003;795000;
Villa;6690;4;129;112;1640;E;5500;1698000;
Villa;2600;6;172;114;3135;E;394;4995000;
Villa;8963;4;160;86;1672;C;768;1395000;
Villa;9560;4;207;159;1537;G;1806;2598000;
Villa;3450;7;187;65;5173;C;1250;4995000;
Villa;9620;5;210;90;1889;C;1096;798000;
Villa;4840;8;255;271;2668;G;2560;1699000;
Villa;6710;10;284;44;4568;C;1271;4998000;
Villa;8450;5;121;135;1514;E;700;895000;
Villa;4241;3;116;70;1756;D;566;1545000;
Villa;5700;4;195;2;2159;A15;931;5249000;
Villa;6440;5;125;56;2007;E;949;895000;
Villa;7840;7;200;74;1758;C;1252;1745000;
Rækkehus;4200;2;71;38;1925;C;199;1395000;
Villa;2700;6;152;81;5621;C;534;5485000;
Villa;4180;5;144;131;2856;E;2330;1745000;
Villa;5000;4;94;95;1527;D;372;2695000;
Villa;6600;3;105;73;1403;E;1063;1395000;
Villa;2670;4;198;24;2529;C;3418;5495000;
Villa;3720;4;139;40;1332;C;1041;895000;
Villa;7600;6;197;48;1974;C;896;1575000;
Rækkehus;4690;3;85;37;1784;C;362;1750000;
Villa;9492;5;153;9;1618;A2;191;2739000;
Villa;2970;5;115;54;5383;E;750;5500000;
Villa;8762;7;200;48;1723;D;900;1395000;
Villa;7183;5;295;77;2111;A10;1720;2750000;
Villa;9000;5;153;61;4033;C;788;5500000;
Villa;9240;4;117;35;1984;C;951;1765000;
Villa;9800;7;151;50;2341;E;823;1595000;
Villa;8740;4;106;33;1381;C;497;1395000;
Villa;2300;4;135;13;4154;C;32738;5995000;
Villa;5230;6;130;67;2608;D;639;2795000;
Villa;7600;5;148;23;1970;C;390;1775000;
Villa;5330;4;132;34;1828;C;810;1395000;
Villa;8544;4;130;54;2368;D;1000;1595000;
Villa;4281;5;181;51;2511;C;1285;1775000;
Villa;8500;4;158;52;2102;C;925;1395000;
Villa;8723;6;164;41;1793;D;999;1595000;
Villa;8305;3;160;144;1772;D;1650;1785000;
Villa;2300;5;137;62;6015;C;585;6250000;
Villa;6051;5;146;121;1455;E;3054;1395000;
Villa;8700;6;196;115;1875;D;901;1795000;
Villa;7620;5;175;41;1759;A10;700;1595000;
Ejerlejlighed;2860;2;45;50;2051;D;3557;1395000;
Villa;5250;5;215;48;3047;D;788;2875000;
Villa;4490;5;174;47;2340;C;1078;1395000;
Villa;8920;4;115;49;2347;D;754;1595000;
Rækkehus;8381;6;158;44;2689;C;387;2898000;
Villa;4100;3;118;96;1664;G;499;1395000;
Rækkehus;7200;3;110;14;1643;B;403;1795000;
Villa;8450;5;192;62;3093;D;1428;2995000;
Villa;5560;7;205;191;2053;D;18080;1395000;
Villa;8963;6;145;66;2090;D;1140;1945000;
Villa;9800;4;140;53;1515;C;713;1595000;
Villa;3370;6;176;107;3425;D;1046;2995000;
Villa;4700;3;90;83;1982;G;729;1395000;
Villa;7400;4;117;70;1844;D;605;1595000;
Villa;6600;5;178;59;2121;E;1332;1795000;
Villa;4330;5;216;114;3335;F;1081;2995000;
Villa;8600;3;56;75;1560;B;202;1395000;
Villa;6000;3;106;73;2117;E;750;1945000;
Villa;4060;4;138;47;2522;C;700;2995000;
Rækkehus;5270;4;105;53;1731;D;306;1795000;
Villa;4700;6;194;93;2257;C;12200;1995000;
Villa;4520;4;164;90;1777;D;933;1399000;
Rækkehus;7400;4;115;49;1462;C;385;1595000;
Villa;6862;8;225;52;2134;A10;30596;2995000;
Villa;4700;4;111;52;1877;D;573;1595000;
Villa;8752;6;201;17;2476;C;1084;2995000;
Villa;9280;4;110;51;1594;D;764;1445000;
Villa;7830;6;191;56;1836;D;882;1595000;
Villa;7500;6;200;41;2701;D;3841;2995000;
Villa;7400;3;106;64;1839;E;745;1445000;
Villa;8920;5;105;56;2086;C;725;1795000;
Villa;9430;5;174;105;2105;E;6910;1995000;
Villa;6731;5;124;101;1997;D;1113;1598000;
Villa;4690;4;156;45;2633;E;868;2625000;
Villa;4700;4;126;48;2348;D;1173;1795000;
Villa;8220;4;130;65;2442;E;823;2998000;
Villa;9550;6;194;45;2698;C;1030;1995000;
Villa;6710;5;152;33;2272;C;420;2275000;
Villa;7100;4;122;60;2852;B;723;2650000;
Villa;6700;7;187;55;2200;B;1009;1798000;
Villa;4623;5;132;34;2905;C;581;3195000;
Villa;7300;6;206;50;2439;D;979;2279000;
Villa;6000;8;244;61;2672;C;1025;2650000;
Villa;6720;5;124;24;2034;C;812;1845000;
Rækkehus;5210;4;107;52;1910;C;356;1995000;
Rækkehus;7120;3;86;43;2152;C;304;1645000;
Villa;8600;5;125;34;2830;C;1156;2675000;
Villa;3400;2;79;92;3022;E;588;2295000;
Villa;9430;4;154;94;1398;D;780;1845000;
Villa;4281;4;149;46;1771;D;882;1645000;
Villa;8920;4;117;92;2381;B;780;3195000;
Villa;6270;5;219;67;1757;E;3553;1995000;
Rækkehus;8660;4;115;37;2422;B;3492;2690000;
Villa;8800;6;175;50;1954;C;1401;1845000;
Villa;7400;6;195;34;1809;C;2355;2295000;
Villa;8800;7;142;45;2470;C;818;2695000;
Villa;6705;5;149;48;2047;D;858;1848000;
Villa;7183;5;160;23;2316;C;772;1995000;
Villa;7000;5;143;47;2552;E;976;1849000;
Villa;8400;4;121;12;2601;C;3253;2695000;
Rækkehus;5250;4;114;35;2240;C;359;2295000;
Villa;4500;6;160;91;1739;D;2176;1850000;
Villa;7120;5;134;45;3420;D;1063;2695000;
Villa;6100;5;148;70;2096;D;740;2295000;
Villa;7100;5;146;56;3028;E;855;1895000;
Villa;4300;5;155;43;3507;E;868;2695000;
Villa;4400;8;247;52;2138;E;1859;2295000;
Villa;7100;5;136;144;2715;B;888;1995000;
Villa;9990;4;108;73;1759;D;503;1895000;
Villa;6000;5;147;18;2636;C;790;2695000;
Villa;8963;3;114;141;1410;C;372;950000;
Villa;5220;5;134;51;2070;D;806;2345000;
Villa;6000;4;120;121;2274;D;579;1895000;
Villa;6330;5;195;49;1517;D;1000;950000;
Villa;4390;4;116;43;2720;C;871;1995000;
Villa;4200;4;134;51;2729;D;1094;2350000;
Villa;4300;4;132;101;2522;D;473;2695000;
Villa;3120;4;110;55;3028;E;1208;1995000;
Villa;8983;5;155;44;1597;C;963;975000;
Villa;8370;6;166;124;2911;E;6898;2395000;
